Timestamp,Container,CPU_Perc,Host_CPU_Perc,Mem_Usage,Mem_Limit,Mem_Perc,Host_Mem_Usage,Host_Mem_Total,Host_Mem_Perc,Net_Input,Net_Output,Block_Input,Block_Output,GPU_Count,GPU_Util_Max,GPU_Mem_Used,GPU_Mem_Total,GPU_Mem_Perc
2026-05-20 19:07:16.724,vllm-server,97.73%,2.74%,559.4MiB,1007GiB,0.05%,13.41GiB,1007GiB,1.33%,1.52kB,696B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:16.919,vllm-server,111.24%,2.91%,560.4MiB,1007GiB,0.05%,13.42GiB,1007GiB,1.33%,1.52kB,696B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:17.132,vllm-server,82.09%,4.03%,565.7MiB,1007GiB,0.05%,13.43GiB,1007GiB,1.33%,1.592kB,750B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:17.310,vllm-server,112.41%,3.43%,575.8MiB,1007GiB,0.06%,13.45GiB,1007GiB,1.34%,1.592kB,750B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:17.507,vllm-server,111.22%,2.77%,584.4MiB,1007GiB,0.06%,13.47GiB,1007GiB,1.34%,1.592kB,750B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:17.730,vllm-server,78.26%,2.61%,590.9MiB,1007GiB,0.06%,13.46GiB,1007GiB,1.34%,1.592kB,750B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:17.906,vllm-server,96.88%,2.59%,592.3MiB,1007GiB,0.06%,13.47GiB,1007GiB,1.34%,1.592kB,750B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:18.102,vllm-server,89.50%,3.42%,600.2MiB,1007GiB,0.06%,13.45GiB,1007GiB,1.34%,1.664kB,804B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:18.278,vllm-server,101.81%,2.94%,606.7MiB,1007GiB,0.06%,13.46GiB,1007GiB,1.34%,1.664kB,804B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:18.457,vllm-server,107.70%,2.89%,613.6MiB,1007GiB,0.06%,13.46GiB,1007GiB,1.34%,1.664kB,804B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:18.649,vllm-server,101.58%,3.24%,623MiB,1007GiB,0.06%,13.49GiB,1007GiB,1.34%,1.664kB,804B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:18.845,vllm-server,89.90%,2.73%,628.6MiB,1007GiB,0.06%,13.48GiB,1007GiB,1.34%,1.664kB,804B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:19.019,vllm-server,112.20%,2.86%,629MiB,1007GiB,0.06%,13.5GiB,1007GiB,1.34%,1.736kB,858B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:19.216,vllm-server,34.34%,2.56%,629.4MiB,1007GiB,0.06%,13.49GiB,1007GiB,1.34%,9.505kB,3.293kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:19.390,vllm-server,3.22%,1.35%,629.6MiB,1007GiB,0.06%,13.5GiB,1007GiB,1.34%,17.53kB,4.926kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:19.607,vllm-server,8.45%,1.23%,630.1MiB,1007GiB,0.06%,13.49GiB,1007GiB,1.34%,23.64kB,6.759kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:19.822,vllm-server,60.33%,2.77%,754.6MiB,1007GiB,0.07%,13.52GiB,1007GiB,1.34%,24.84kB,6.823kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:20.018,vllm-server,93.01%,2.72%,825.8MiB,1007GiB,0.08%,13.65GiB,1007GiB,1.35%,24.84kB,6.823kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:20.268,vllm-server,2151.78%,35.25%,860MiB,1007GiB,0.08%,13.71GiB,1007GiB,1.36%,24.91kB,6.876kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:20.446,vllm-server,110.62%,2.74%,883.2MiB,1007GiB,0.09%,13.74GiB,1007GiB,1.36%,24.91kB,6.876kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:20.639,vllm-server,98.78%,2.82%,893.2MiB,1007GiB,0.09%,13.74GiB,1007GiB,1.36%,24.91kB,6.876kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:20.833,vllm-server,101.24%,3.14%,910.7MiB,1007GiB,0.09%,13.76GiB,1007GiB,1.37%,24.91kB,6.876kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:21.028,vllm-server,100.32%,2.88%,933.3MiB,1007GiB,0.09%,13.77GiB,1007GiB,1.37%,24.91kB,6.876kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:21.227,vllm-server,98.78%,3.53%,951.4MiB,1007GiB,0.09%,13.78GiB,1007GiB,1.37%,24.99kB,6.929kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:21.419,vllm-server,89.64%,3.42%,958.3MiB,1007GiB,0.09%,13.79GiB,1007GiB,1.37%,24.99kB,6.929kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:21.594,vllm-server,111.80%,2.94%,973.9MiB,1007GiB,0.09%,13.8GiB,1007GiB,1.37%,24.99kB,6.929kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:21.786,vllm-server,58.70%,2.29%,999.3MiB,1007GiB,0.10%,13.82GiB,1007GiB,1.37%,24.99kB,6.929kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:21.961,vllm-server,110.02%,2.86%,1003MiB,1007GiB,0.10%,13.83GiB,1007GiB,1.37%,24.99kB,6.929kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:22.157,vllm-server,112.24%,2.72%,1010MiB,1007GiB,0.10%,13.85GiB,1007GiB,1.37%,25.13kB,6.981kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:22.369,vllm-server,88.60%,3.39%,1008MiB,1007GiB,0.10%,13.86GiB,1007GiB,1.38%,25.13kB,6.981kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:22.564,vllm-server,102.42%,3.46%,1012MiB,1007GiB,0.10%,13.86GiB,1007GiB,1.38%,25.13kB,6.981kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:22.761,vllm-server,97.69%,2.71%,1014MiB,1007GiB,0.10%,13.86GiB,1007GiB,1.38%,25.13kB,6.981kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:22.955,vllm-server,113.11%,2.83%,1021MiB,1007GiB,0.10%,13.86GiB,1007GiB,1.38%,25.13kB,6.981kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:23.176,vllm-server,97.46%,2.81%,1.013GiB,1007GiB,0.10%,13.87GiB,1007GiB,1.38%,25.13kB,6.981kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:23.389,vllm-server,90.07%,3.32%,1.024GiB,1007GiB,0.10%,13.89GiB,1007GiB,1.38%,25.2kB,7.034kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:23.582,vllm-server,93.12%,2.68%,1.045GiB,1007GiB,0.10%,13.89GiB,1007GiB,1.38%,25.2kB,7.034kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:23.766,vllm-server,2816.17%,45.38%,1.061GiB,1007GiB,0.11%,13.9GiB,1007GiB,1.38%,25.2kB,7.034kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:23.961,vllm-server,110.49%,2.56%,1.064GiB,1007GiB,0.11%,13.91GiB,1007GiB,1.38%,25.2kB,7.034kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:24.178,vllm-server,92.55%,2.61%,1.074GiB,1007GiB,0.11%,13.92GiB,1007GiB,1.38%,25.2kB,7.034kB,0B,0B,1,0.00%,0B,80GiB,0.00%
