Timestamp,Container,CPU_Perc,Host_CPU_Perc,Mem_Usage,Mem_Limit,Mem_Perc,Host_Mem_Usage,Host_Mem_Total,Host_Mem_Perc,Net_Input,Net_Output,Block_Input,Block_Output,GPU_Count,GPU_Util_Max,GPU_Mem_Used,GPU_Mem_Total,GPU_Mem_Perc
2026-05-20 14:39:29.721,vllm-server,98.42%,2.75%,1.166GiB,1007GiB,0.12%,13.93GiB,1007GiB,1.38%,32.9kB,7.783kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:29.919,vllm-server,90.60%,2.99%,1.173GiB,1007GiB,0.12%,13.95GiB,1007GiB,1.38%,32.9kB,7.783kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:30.097,vllm-server,110.14%,3.50%,1.176GiB,1007GiB,0.12%,13.95GiB,1007GiB,1.38%,32.9kB,7.783kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:30.294,vllm-server,99.97%,4.08%,1.176GiB,1007GiB,0.12%,13.96GiB,1007GiB,1.39%,32.98kB,7.836kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:30.488,vllm-server,88.47%,2.82%,1.176GiB,1007GiB,0.12%,13.95GiB,1007GiB,1.38%,32.98kB,7.836kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:30.660,vllm-server,111.14%,2.81%,1.176GiB,1007GiB,0.12%,13.95GiB,1007GiB,1.38%,32.98kB,7.836kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:30.853,vllm-server,91.48%,2.69%,1.169GiB,1007GiB,0.12%,13.95GiB,1007GiB,1.38%,32.98kB,7.836kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:31.030,vllm-server,134.44%,4.04%,661.7MiB,1007GiB,0.06%,13.52GiB,1007GiB,1.34%,32.98kB,7.836kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:31.246,vllm-server,90.66%,2.61%,678.9MiB,1007GiB,0.07%,13.42GiB,1007GiB,1.33%,33.05kB,7.889kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:31.443,vllm-server,99.24%,3.17%,693.2MiB,1007GiB,0.07%,13.43GiB,1007GiB,1.33%,33.05kB,7.889kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:31.637,vllm-server,99.15%,2.67%,700.7MiB,1007GiB,0.07%,13.43GiB,1007GiB,1.33%,33.05kB,7.889kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:31.827,vllm-server,103.54%,2.66%,708.2MiB,1007GiB,0.07%,13.44GiB,1007GiB,1.33%,33.05kB,7.889kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:32.025,vllm-server,88.82%,2.60%,714.4MiB,1007GiB,0.07%,13.45GiB,1007GiB,1.34%,33.05kB,7.889kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:32.201,vllm-server,59.84%,3.26%,721.3MiB,1007GiB,0.07%,13.47GiB,1007GiB,1.34%,40.87kB,10.59kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:32.405,vllm-server,5.30%,1.46%,721MiB,1007GiB,0.07%,13.48GiB,1007GiB,1.34%,47.05kB,12.74kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:32.605,vllm-server,3.35%,1.25%,720.9MiB,1007GiB,0.07%,13.47GiB,1007GiB,1.34%,55.72kB,14.19kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:32.782,vllm-server,106.06%,2.39%,803.9MiB,1007GiB,0.08%,13.54GiB,1007GiB,1.34%,55.72kB,14.26kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:32.981,vllm-server,48.39%,3.39%,836MiB,1007GiB,0.08%,13.59GiB,1007GiB,1.35%,61.24kB,14.81kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:33.160,vllm-server,91.95%,2.09%,874.3MiB,1007GiB,0.08%,13.61GiB,1007GiB,1.35%,64.24kB,15.96kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:33.383,vllm-server,88.36%,2.97%,1.001GiB,1007GiB,0.10%,13.75GiB,1007GiB,1.37%,64.31kB,16.02kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:33.579,vllm-server,2429.12%,20.48%,1.047GiB,1007GiB,0.10%,13.82GiB,1007GiB,1.37%,64.31kB,16.02kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:33.774,vllm-server,90.41%,21.84%,1.069GiB,1007GiB,0.11%,13.85GiB,1007GiB,1.37%,64.31kB,16.02kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:33.950,vllm-server,100.20%,2.85%,1.082GiB,1007GiB,0.11%,13.87GiB,1007GiB,1.38%,64.31kB,16.02kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:34.130,vllm-server,99.83%,2.70%,1.093GiB,1007GiB,0.11%,13.86GiB,1007GiB,1.38%,64.31kB,16.02kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:34.304,vllm-server,101.15%,2.96%,1.111GiB,1007GiB,0.11%,13.86GiB,1007GiB,1.38%,64.31kB,16.02kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:34.485,vllm-server,99.57%,3.21%,1.133GiB,1007GiB,0.11%,13.88GiB,1007GiB,1.38%,64.39kB,16.07kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:34.664,vllm-server,100.38%,2.97%,1.145GiB,1007GiB,0.11%,13.89GiB,1007GiB,1.38%,64.39kB,16.07kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:34.841,vllm-server,99.15%,2.99%,1.154GiB,1007GiB,0.11%,13.9GiB,1007GiB,1.38%,64.39kB,16.07kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:35.023,vllm-server,110.46%,2.77%,1.169GiB,1007GiB,0.12%,13.91GiB,1007GiB,1.38%,64.39kB,16.07kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:35.219,vllm-server,1959.53%,8.43%,1.194GiB,1007GiB,0.12%,13.93GiB,1007GiB,1.38%,64.39kB,16.07kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:35.431,vllm-server,92.53%,24.36%,1.198GiB,1007GiB,0.12%,13.96GiB,1007GiB,1.39%,64.46kB,16.12kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:35.623,vllm-server,102.01%,4.07%,1.204GiB,1007GiB,0.12%,13.98GiB,1007GiB,1.39%,64.46kB,16.12kB,0B,0B,1,0.00%,0B,80GiB,0.00%
